2025-03-04 21:24:41,922 - SEND event to ALL machines, logical clock: 261
2025-03-04 21:24:42,092 - INTERNAL event, logical clock: 262
2025-03-04 21:24:42,260 - SEND event to port 5002, logical clock: 263
2025-03-04 21:24:42,430 - RECEIVE event, queue length: 0, logical clock: 264
2025-03-04 21:24:42,601 - SEND event to port 5002, logical clock: 265
2025-03-04 21:24:42,772 - RECEIVE event, queue length: 0, logical clock: 266
2025-03-04 21:24:42,943 - RECEIVE event, queue length: 0, logical clock: 267
2025-03-04 21:24:43,113 - SEND event to port 5002, logical clock: 268
2025-03-04 21:24:43,284 - SEND event to port 5001, logical clock: 269
2025-03-04 21:24:43,454 - SEND event to port 5001, logical clock: 270
2025-03-04 21:24:43,621 - SEND event to port 5002, logical clock: 271
2025-03-04 21:24:43,791 - SEND event to port 5002, logical clock: 272
2025-03-04 21:24:43,960 - SEND event to port 5001, logical clock: 273
2025-03-04 21:24:44,131 - SEND event to port 5002, logical clock: 274
2025-03-04 21:24:44,303 - SEND event to port 5002, logical clock: 275
2025-03-04 21:24:44,472 - RECEIVE event, queue length: 0, logical clock: 276
2025-03-04 21:24:44,640 - SEND event to port 5002, logical clock: 277
2025-03-04 21:24:44,812 - SEND event to port 5001, logical clock: 278
2025-03-04 21:24:44,983 - SEND event to port 5002, logical clock: 279
2025-03-04 21:24:45,155 - SEND event to port 5001, logical clock: 280
2025-03-04 21:24:45,325 - SEND event to port 5001, logical clock: 281
2025-03-04 21:24:45,494 - SEND event to port 5002, logical clock: 282
2025-03-04 21:24:45,665 - INTERNAL event, logical clock: 283
2025-03-04 21:24:45,834 - INTERNAL event, logical clock: 284
2025-03-04 21:24:46,002 - SEND event to port 5002, logical clock: 285
2025-03-04 21:24:46,174 - SEND event to port 5002, logical clock: 286
2025-03-04 21:24:46,345 - RECEIVE event, queue length: 0, logical clock: 287
2025-03-04 21:24:46,516 - RECEIVE event, queue length: 0, logical clock: 288
2025-03-04 21:24:46,687 - SEND event to ALL machines, logical clock: 289
2025-03-04 21:24:46,858 - SEND event to port 5002, logical clock: 290
2025-03-04 21:24:47,029 - SEND event to ALL machines, logical clock: 291
2025-03-04 21:24:47,201 - SEND event to ALL machines, logical clock: 292
2025-03-04 21:24:47,368 - SEND event to ALL machines, logical clock: 293
2025-03-04 21:24:47,536 - SEND event to port 5001, logical clock: 294
2025-03-04 21:24:47,708 - SEND event to port 5001, logical clock: 295
2025-03-04 21:24:47,876 - SEND event to port 5001, logical clock: 296
2025-03-04 21:24:48,046 - SEND event to port 5002, logical clock: 297
2025-03-04 21:24:48,218 - INTERNAL event, logical clock: 298
2025-03-04 21:24:48,390 - SEND event to port 5001, logical clock: 299
2025-03-04 21:24:48,561 - SEND event to port 5001, logical clock: 300
2025-03-04 21:24:48,733 - SEND event to port 5001, logical clock: 301
2025-03-04 21:24:48,905 - SEND event to port 5001, logical clock: 302
2025-03-04 21:24:49,073 - SEND event to ALL machines, logical clock: 303
2025-03-04 21:24:49,241 - SEND event to port 5001, logical clock: 304
2025-03-04 21:24:49,408 - INTERNAL event, logical clock: 305
2025-03-04 21:24:49,577 - SEND event to port 5001, logical clock: 306
2025-03-04 21:24:49,748 - SEND event to ALL machines, logical clock: 307
2025-03-04 21:24:49,917 - SEND event to port 5001, logical clock: 308
2025-03-04 21:24:50,088 - SEND event to port 5002, logical clock: 309
2025-03-04 21:24:50,258 - SEND event to port 5001, logical clock: 310
2025-03-04 21:24:50,428 - SEND event to port 5001, logical clock: 311
2025-03-04 21:24:50,599 - RECEIVE event, queue length: 0, logical clock: 312
2025-03-04 21:24:50,771 - SEND event to port 5002, logical clock: 313
2025-03-04 21:24:50,942 - SEND event to port 5002, logical clock: 314
2025-03-04 21:24:51,112 - SEND event to port 5001, logical clock: 315
2025-03-04 21:24:51,283 - SEND event to port 5001, logical clock: 316
2025-03-04 21:24:51,455 - RECEIVE event, queue length: 0, logical clock: 317
2025-03-04 21:24:51,627 - RECEIVE event, queue length: 0, logical clock: 318
2025-03-04 21:24:51,796 - SEND event to port 5002, logical clock: 319
2025-03-04 21:24:51,966 - INTERNAL event, logical clock: 320
2025-03-04 21:24:52,138 - RECEIVE event, queue length: 0, logical clock: 322
2025-03-04 21:24:52,306 - SEND event to port 5001, logical clock: 323
2025-03-04 21:24:52,475 - RECEIVE event, queue length: 0, logical clock: 324
2025-03-04 21:24:52,646 - RECEIVE event, queue length: 0, logical clock: 325
2025-03-04 21:24:52,817 - INTERNAL event, logical clock: 326
2025-03-04 21:24:52,988 - SEND event to port 5001, logical clock: 327
2025-03-04 21:24:53,160 - RECEIVE event, queue length: 0, logical clock: 328
2025-03-04 21:24:53,332 - SEND event to ALL machines, logical clock: 329
2025-03-04 21:24:53,504 - SEND event to port 5001, logical clock: 330
2025-03-04 21:24:53,675 - RECEIVE event, queue length: 0, logical clock: 332
2025-03-04 21:24:53,847 - RECEIVE event, queue length: 0, logical clock: 333
2025-03-04 21:24:54,019 - INTERNAL event, logical clock: 334
2025-03-04 21:24:54,190 - RECEIVE event, queue length: 0, logical clock: 335
2025-03-04 21:24:54,362 - SEND event to ALL machines, logical clock: 336
2025-03-04 21:24:54,530 - SEND event to port 5002, logical clock: 337
2025-03-04 21:24:54,701 - SEND event to port 5001, logical clock: 338
2025-03-04 21:24:54,871 - SEND event to port 5002, logical clock: 339
2025-03-04 21:24:55,043 - SEND event to port 5001, logical clock: 340
2025-03-04 21:24:55,215 - SEND event to port 5001, logical clock: 341
2025-03-04 21:24:55,387 - RECEIVE event, queue length: 0, logical clock: 342
2025-03-04 21:24:55,557 - SEND event to port 5002, logical clock: 343
2025-03-04 21:24:55,729 - SEND event to port 5002, logical clock: 344
2025-03-04 21:24:55,898 - SEND event to ALL machines, logical clock: 345
2025-03-04 21:24:56,069 - SEND event to port 5001, logical clock: 346
2025-03-04 21:24:56,241 - SEND event to port 5002, logical clock: 347
2025-03-04 21:24:56,263 - Machine 2 stopped. Final logical clock: 347
